Time, Host Id, Vm Id, Cloudlet Id, Remaining Iops, Iops Util, Remaining Mips, Mips Util
0.00, 0, 526, 526, 86400, 1.000, 216000000, 0.000
0.00, 0, 527, 527, 86400, 1.000, 216000000, 0.020
0.00, 0, 789, 789, 86400, 1.000, 216000000, 0.380
0.00, 1, 0, 0, 86400, 1.000, 216000000, 0.100
0.00, 1, 1, 1, 86400, 1.000, 216000000, 0.380
0.00, 2, 528, 528, 86400, 1.000, 216000000, 0.100
0.00, 2, 529, 529, 86400, 1.000, 216000000, 0.020
0.00, 2, 790, 790, 86400, 1.000, 216000000, 0.020
0.00, 3, 2, 2, 86400, 1.000, 216000000, 0.210
0.00, 3, 3, 3, 86400, 1.000, 216000000, 0.530
0.00, 4, 530, 530, 86400, 1.000, 216000000, 0.400
0.00, 4, 531, 531, 86400, 1.000, 216000000, 0.090
0.00, 4, 791, 791, 86400, 1.000, 216000000, 0.060
0.00, 5, 4, 4, 86400, 1.000, 216000000, 0.040
0.00, 5, 5, 5, 86400, 1.000, 216000000, 0.090
0.00, 6, 532, 532, 86400, 1.000, 216000000, 0.060
0.00, 6, 533, 533, 86400, 1.000, 216000000, 0.060
0.00, 6, 792, 792, 86400, 1.000, 216000000, 0.090
0.00, 7, 6, 6, 86400, 1.000, 216000000, 0.020
0.00, 7, 7, 7, 86400, 1.000, 216000000, 0.040
0.00, 8, 534, 534, 86400, 1.000, 216000000, 0.000
0.00, 8, 535, 535, 86400, 1.000, 216000000, 0.060
0.00, 8, 793, 793, 86400, 1.000, 216000000, 0.040
0.00, 9, 8, 8, 86400, 1.000, 216000000, 0.040
0.00, 9, 9, 9, 86400, 1.000, 216000000, 0.020
0.00, 10, 536, 536, 86400, 1.000, 216000000, 0.000
0.00, 10, 537, 537, 86400, 1.000, 216000000, 0.090
0.00, 10, 794, 794, 86400, 1.000, 216000000, 0.320
0.00, 11, 10, 10, 86400, 1.000, 216000000, 0.020
0.00, 11, 11, 11, 86400, 1.000, 216000000, 0.270
0.00, 12, 538, 538, 86400, 1.000, 216000000, 0.090
0.00, 12, 539, 539, 86400, 1.000, 216000000, 0.040
0.00, 12, 795, 795, 86400, 1.000, 216000000, 0.040
0.00, 13, 12, 12, 86400, 1.000, 216000000, 0.000
0.00, 13, 13, 13, 86400, 1.000, 216000000, 0.960
0.00, 14, 540, 540, 86400, 1.000, 216000000, 0.000
0.00, 14, 541, 541, 86400, 1.000, 216000000, 0.000
0.00, 14, 796, 796, 86400, 1.000, 216000000, 0.270
0.00, 15, 14, 14, 86400, 1.000, 216000000, 0.040
0.00, 15, 15, 15, 86400, 1.000, 216000000, 0.020
0.00, 16, 542, 542, 86400, 1.000, 216000000, 0.400
0.00, 16, 543, 543, 86400, 1.000, 216000000, 0.230
0.00, 16, 797, 797, 86400, 1.000, 216000000, 0.040
0.00, 17, 16, 16, 86400, 1.000, 216000000, 0.270
0.00, 17, 17, 17, 86400, 1.000, 216000000, 0.000
0.00, 18, 544, 544, 86400, 1.000, 216000000, 0.180
0.00, 18, 545, 545, 86400, 1.000, 216000000, 0.000
0.00, 18, 798, 798, 86400, 1.000, 216000000, 0.390
0.00, 19, 18, 18, 86400, 1.000, 216000000, 0.020
0.00, 19, 19, 19, 86400, 1.000, 216000000, 0.000
0.00, 20, 546, 546, 86400, 1.000, 216000000, 0.030
0.00, 20, 547, 547, 86400, 1.000, 216000000, 0.040
0.00, 20, 799, 799, 86400, 1.000, 216000000, 0.290
0.00, 21, 20, 20, 86400, 1.000, 216000000, 0.000
0.00, 21, 21, 21, 86400, 1.000, 216000000, 0.080
0.00, 22, 548, 548, 86400, 1.000, 216000000, 0.220
0.00, 22, 549, 549, 86400, 1.000, 216000000, 0.020
0.00, 22, 800, 800, 86400, 1.000, 216000000, 0.060
0.00, 23, 22, 22, 86400, 1.000, 216000000, 0.020
0.00, 23, 23, 23, 86400, 1.000, 216000000, 0.070
0.00, 24, 550, 550, 86400, 1.000, 216000000, 0.000
0.00, 24, 551, 551, 86400, 1.000, 216000000, 0.130
0.00, 24, 801, 801, 86400, 1.000, 216000000, 0.940
0.00, 25, 24, 24, 86400, 1.000, 216000000, 0.380
0.00, 25, 25, 25, 86400, 1.000, 216000000, 0.010
0.00, 26, 552, 552, 86400, 1.000, 216000000, 0.120
0.00, 26, 553, 553, 86400, 1.000, 216000000, 0.000
0.00, 26, 802, 802, 86400, 1.000, 216000000, 0.170
0.00, 27, 26, 26, 86400, 1.000, 216000000, 0.030
0.00, 27, 27, 27, 86400, 1.000, 216000000, 0.000
0.00, 28, 554, 554, 86400, 1.000, 216000000, 0.370
0.00, 28, 555, 555, 86400, 1.000, 216000000, 0.170
0.00, 28, 803, 803, 86400, 1.000, 216000000, 0.220
0.00, 29, 28, 28, 86400, 1.000, 216000000, 0.080
0.00, 29, 29, 29, 86400, 1.000, 216000000, 0.370
0.00, 30, 556, 556, 86400, 1.000, 216000000, 0.020
0.00, 30, 557, 557, 86400, 1.000, 216000000, 0.600
0.00, 30, 804, 804, 86400, 1.000, 216000000, 0.000
0.00, 31, 30, 30, 86400, 1.000, 216000000, 0.030
0.00, 31, 31, 31, 86400, 1.000, 216000000, 0.020
0.00, 32, 558, 558, 86400, 1.000, 216000000, 0.040
0.00, 32, 559, 559, 86400, 1.000, 216000000, 0.000
0.00, 32, 805, 805, 86400, 1.000, 216000000, 0.210
0.00, 33, 32, 32, 86400, 1.000, 216000000, 0.270
0.00, 33, 33, 33, 86400, 1.000, 216000000, 0.020
0.00, 34, 560, 560, 86400, 1.000, 216000000, 0.020
0.00, 34, 561, 561, 86400, 1.000, 216000000, 0.000
0.00, 34, 806, 806, 86400, 1.000, 216000000, 0.040
0.00, 35, 34, 34, 86400, 1.000, 216000000, 0.090
0.00, 35, 35, 35, 86400, 1.000, 216000000, 0.020
0.00, 36, 562, 562, 86400, 1.000, 216000000, 0.060
0.00, 36, 563, 563, 86400, 1.000, 216000000, 0.000
0.00, 36, 807, 807, 86400, 1.000, 216000000, 0.170
0.00, 37, 36, 36, 86400, 1.000, 216000000, 0.060
0.00, 37, 37, 37, 86400, 1.000, 216000000, 0.080
0.00, 38, 564, 564, 86400, 1.000, 216000000, 0.060
0.00, 38, 565, 565, 86400, 1.000, 216000000, 0.060
0.00, 38, 808, 808, 86400, 1.000, 216000000, 0.120
0.00, 39, 38, 38, 86400, 1.000, 216000000, 0.020
0.00, 39, 39, 39, 86400, 1.000, 216000000, 0.010
0.00, 40, 566, 566, 86400, 1.000, 216000000, 0.130
0.00, 40, 567, 567, 86400, 1.000, 216000000, 0.130
0.00, 40, 809, 809, 86400, 1.000, 216000000, 0.020
0.00, 41, 40, 40, 86400, 1.000, 216000000, 0.020
0.00, 41, 41, 41, 86400, 1.000, 216000000, 0.060
0.00, 42, 568, 568, 86400, 1.000, 216000000, 0.280
0.00, 42, 569, 569, 86400, 1.000, 216000000, 0.010
0.00, 42, 810, 810, 86400, 1.000, 216000000, 0.020
0.00, 43, 42, 42, 86400, 1.000, 216000000, 0.060
0.00, 43, 43, 43, 86400, 1.000, 216000000, 0.000
0.00, 44, 570, 570, 86400, 1.000, 216000000, 0.270
0.00, 44, 571, 571, 86400, 1.000, 216000000, 0.020
0.00, 44, 811, 811, 86400, 1.000, 216000000, 0.020
0.00, 45, 44, 44, 86400, 1.000, 216000000, 0.040
0.00, 45, 45, 45, 86400, 1.000, 216000000, 0.040
0.00, 46, 572, 572, 86400, 1.000, 216000000, 0.820
0.00, 46, 573, 573, 86400, 1.000, 216000000, 0.000
0.00, 46, 812, 812, 86400, 1.000, 216000000, 0.150
0.00, 47, 46, 46, 86400, 1.000, 216000000, 0.020
0.00, 47, 47, 47, 86400, 1.000, 216000000, 0.040
0.00, 48, 574, 574, 86400, 1.000, 216000000, 0.000
0.00, 48, 575, 575, 86400, 1.000, 216000000, 0.000
0.00, 48, 813, 813, 86400, 1.000, 216000000, 0.000
0.00, 49, 48, 48, 86400, 1.000, 216000000, 0.070
0.00, 49, 49, 49, 86400, 1.000, 216000000, 0.040
0.00, 50, 576, 576, 86400, 1.000, 216000000, 0.080
0.00, 50, 577, 577, 86400, 1.000, 216000000, 0.230
0.00, 50, 814, 814, 86400, 1.000, 216000000, 0.000
0.00, 51, 50, 50, 86400, 1.000, 216000000, 0.000
0.00, 51, 51, 51, 86400, 1.000, 216000000, 0.000
0.00, 52, 578, 578, 86400, 1.000, 216000000, 0.110
0.00, 52, 579, 579, 86400, 1.000, 216000000, 0.520
0.00, 52, 815, 815, 86400, 1.000, 216000000, 0.250
0.00, 53, 52, 52, 86400, 1.000, 216000000, 0.060
0.00, 53, 53, 53, 86400, 1.000, 216000000, 0.110
0.00, 54, 580, 580, 86400, 1.000, 216000000, 0.080
0.00, 54, 581, 581, 86400, 1.000, 216000000, 0.000
0.00, 54, 816, 816, 86400, 1.000, 216000000, 0.100
0.00, 55, 54, 54, 86400, 1.000, 216000000, 0.020
0.00, 55, 55, 55, 86400, 1.000, 216000000, 0.060
0.00, 56, 582, 582, 86400, 1.000, 216000000, 0.000
0.00, 56, 583, 583, 86400, 1.000, 216000000, 0.020
0.00, 56, 817, 817, 86400, 1.000, 216000000, 0.260
0.00, 57, 56, 56, 86400, 1.000, 216000000, 0.030
0.00, 57, 57, 57, 86400, 1.000, 216000000, 0.020
0.00, 58, 584, 584, 86400, 1.000, 216000000, 0.070
0.00, 58, 585, 585, 86400, 1.000, 216000000, 0.040
0.00, 58, 818, 818, 86400, 1.000, 216000000, 0.040
0.00, 59, 58, 58, 86400, 1.000, 216000000, 0.020
0.00, 59, 59, 59, 86400, 1.000, 216000000, 0.410
0.00, 60, 586, 586, 86400, 1.000, 216000000, 0.040
0.00, 60, 587, 587, 86400, 1.000, 216000000, 0.300
0.00, 60, 819, 819, 86400, 1.000, 216000000, 0.210
0.00, 61, 60, 60, 86400, 1.000, 216000000, 0.320
0.00, 61, 61, 61, 86400, 1.000, 216000000, 0.780
0.00, 62, 588, 588, 86400, 1.000, 216000000, 0.020
0.00, 62, 589, 589, 86400, 1.000, 216000000, 0.090
0.00, 62, 820, 820, 86400, 1.000, 216000000, 0.000
0.00, 63, 62, 62, 86400, 1.000, 216000000, 0.120
0.00, 63, 63, 63, 86400, 1.000, 216000000, 0.030
0.00, 64, 590, 590, 86400, 1.000, 216000000, 0.560
0.00, 64, 591, 591, 86400, 1.000, 216000000, 0.620
0.00, 64, 821, 821, 86400, 1.000, 216000000, 0.420
0.00, 65, 64, 64, 86400, 1.000, 216000000, 0.000
0.00, 65, 65, 65, 86400, 1.000, 216000000, 0.100
0.00, 66, 592, 592, 86400, 1.000, 216000000, 0.050
0.00, 66, 593, 593, 86400, 1.000, 216000000, 0.040
0.00, 66, 822, 822, 86400, 1.000, 216000000, 0.020
0.00, 67, 66, 66, 86400, 1.000, 216000000, 0.000
0.00, 67, 67, 67, 86400, 1.000, 216000000, 0.020
0.00, 68, 594, 594, 86400, 1.000, 216000000, 0.000
0.00, 68, 595, 595, 86400, 1.000, 216000000, 0.020
0.00, 68, 823, 823, 86400, 1.000, 216000000, 0.010
0.00, 69, 68, 68, 86400, 1.000, 216000000, 0.290
0.00, 69, 69, 69, 86400, 1.000, 216000000, 0.290
